Sample,Organism-name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size,GC.,Replicons,WGS,Scaffolds,Genes,Proteins,Release.Date,Cas_genes,Level,GenBank.FTP,crispr,spacers,cas,IE,IF,IC,other/FP,type_other,Cas_genes,acrIE,acrIF,Acr_genes_hom,nb_hits_hom,nb_other_hom,gbaLC,gbaMC_IE,gbaMC_IF,gbaMC_IC,gbaHC_IE,gbaHC_IF,gbaHC_IC,phage
GCF_000215795.4_PA15_miseq,Pseudomonas aeruginosa HB15,HB15,SAMN02471890 ,PRJNA62725,Proteobacteria,Gammaproteobacteria,GCA_000215795.5 ,6.6377,66.2,-,AEVW03,19,6189,6049,2011/06/03,2019/11/15,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/795/GCA_000215795.5_PA15_miseq,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000220025.1_ASM22002v2,Pseudomonas aeruginosa AES-1R,AES-1R,SAMN02471202 ,PRJNA64619,Proteobacteria,Gammaproteobacteria,GCA_000220025.2 ,6.26762,66.5,-,AFNF01,1783,6840,5780,2011/07/06,2018/12/08,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/025/GCA_000220025.2_ASM22002v2,2,24,2,2,0,0,5,['IIIU'],"[['cas3_TypeI (2813,4153,-)'], ['cse2_TypeIE (1413,1943,+)', 'cas6_TypeIE (3734,4345,+)', 'cas7_TypeIE (1953,3095,+)', 'cas5_TypeIE (3097,3759,+)', 'cse1_TypeIE (37,1416,+)'], ['csx3_TypeIIIU (1773,2651,+)'], ['cas3_TypeI (1640,3211,+)'], ['cas1_TypeIE (10075,10770,-)', 'cas2_TypeIE (9779,10078,-)'], ['cas3_TypeI (2015,3685,+)'], ['cas3_TypeI (7630,9006,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000223925.1_ASM22392v2,Pseudomonas aeruginosa 9BR,9BR,SAMN02471403 ,PRJNA68315,Proteobacteria,Gammaproteobacteria,GCA_000223925.2 ,6.84986,66.1,-,AFXI01,2,6617,6432,2011/08/17,2019/06/08,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/925/GCA_000223925.2_ASM22392v2,1,39,1,0,0,1,0,[],"[['cas4_TypeI-II (5548591,5549223,-)', 'cas7c_TypeIC (5549242,5550111,-)', 'cas3_TypeI (5552623,5554857,-)', 'cas2_TypeI-II-III (5547247,5547537,-)', 'cas5c_TypeIC (5551898,5552572,-)', 'cas8c_TypeIC (5550108,5551901,-)', 'cas1_TypeIC (5547547,5548587,-)']]",0,0,[],0,0,0,0,0,2,0,0,0,[]
GCF_000223945.1_ASM22394v2,Pseudomonas aeruginosa 19BR,19BR,SAMN02471401 ,PRJNA70773,Proteobacteria,Gammaproteobacteria,GCA_000223945.2 ,6.74296,66.1,chromosome:NZ_AFXJ01000001.1/AFXJ01000001.1,AFXJ01,1,6315,6159,2011/08/17,2017/11/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/945/GCA_000223945.2_ASM22394v2,1,39,1,0,0,1,0,[],"[['cas8c_TypeIC (5491398,5493191,-)', 'cas5c_TypeIC (5493188,5493862,-)', 'cas3_TypeI (5493913,5496147,-)', 'cas7c_TypeIC (5490532,5491401,-)', 'cas2_TypeI-II-III (5488537,5488827,-)', 'cas1_TypeIC (5488837,5489877,-)', 'cas4_TypeI-II (5489881,5490513,-)']]",0,0,[],0,0,0,0,0,2,0,0,0,['YMC11/07/P54_PAE_BP_NC_030909-gi|YP_009273732.1||5.66e-28']
GCF_000223965.1_ASM22396v2,Pseudomonas aeruginosa 213BR,213BR,SAMN02471402 ,PRJNA70775,Proteobacteria,Gammaproteobacteria,GCA_000223965.2 ,6.71921,66.1,chromosome:NZ_AFXK01000001.1/AFXK01000001.1,AFXK01,1,6455,6283,2011/08/17,2019/06/08,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/965/GCA_000223965.2_ASM22396v2,2,33,1,0,0,1,0,[],"[['cas1_TypeIC (5465507,5466547,-)', 'cas5c_TypeIC (5469858,5470532,-)', 'cas7c_TypeIC (5467202,5468071,-)', 'cas2_TypeI-II-III (5465207,5465497,-)', 'cas3_TypeI (5470583,5472817,-)', 'cas8c_TypeIC (5468068,5469861,-)', 'cas4_TypeI-II (5466551,5467183,-)']]",0,0,[],0,0,0,0,0,1,0,0,0,[]
GCF_000226155.1_ASM22615v1,Pseudomonas aeruginosa M18,M18,SAMN02603849 ,PRJNA61423,Proteobacteria,Gammaproteobacteria,GCA_000226155.1 ,6.32775,66.5,chromosome:NC_017548.1/CP002496.1,-,1,6015,5874,2011/09/19,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/155/GCA_000226155.1_ASM22615v1,3,41,1,0,1,0,0,[],"[['csy2_TypeIF (2880767,2881750,-)', 'cas6_TypeIF (2879161,2879724,-)', 'csy3_TypeIF (2879728,2880756,-)', 'csy1_TypeIF (2881737,2883041,-)', 'cas3-cas2_TypeIF (2883099,2886329,-)', 'cas1_TypeIF (2886326,2887300,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000233495.1_Pseudomonas_sp_2_1_26_V1,Pseudomonas aeruginosa,2_1_26,SAMN02463803 ,PRJNA40037,Proteobacteria,Gammaproteobacteria,GCA_000233495.1 ,6.44748,66.1,-,ACWU01,51,6212,5739,2011/10/31,2018/05/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/495/GCA_000233495.1_Pseudomonas_sp_2_1_26_V1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000247435.1_ASM24743v2,Pseudomonas aeruginosa MPAO1/P1,MPAO1/P1,SAMN02471696 ,PRJNA80839,Proteobacteria,Gammaproteobacteria,GCA_000247435.2 ,6.26081,66.6,-,AHKM01,140,5989,5817,2012/02/08,2019/06/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/435/GCA_000247435.2_ASM24743v2,0,0,0,0,0,0,3,[],"[['cas3_TypeI (53534,54883,-)'], ['cas3_TypeI (19404,23753,+)'], ['cas3_TypeI (3859,5199,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000247455.1_ASM24745v2,Pseudomonas aeruginosa MPAO1/P2,MPAO1/P2,SAMN02471697 ,PRJNA80841,Proteobacteria,Gammaproteobacteria,GCA_000247455.2 ,6.27634,66.5,-,AHKN01,301,6122,5852,2012/02/08,2019/06/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/455/GCA_000247455.2_ASM24745v2,0,0,0,0,0,0,5,['IIIU'],"[['csx3_TypeIIIU (26648,27526,+)'], ['cas3_TypeI (41720,43069,+)'], ['cas3_TypeI (12729,14069,-)'], ['cas3_TypeI (12076,13452,-)'], ['cas3_TypeI (32257,33927,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000258285.1_ASM25828v1,Pseudomonas aeruginosa LCT-PA102,LCT-PA102,SAMN02469384 ,PRJNA156843,Proteobacteria,Gammaproteobacteria,GCA_000258285.1 ,6.75243,66.2,-,AJKG01,180,6386,6234,2012/04/09,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/285/GCA_000258285.1_ASM25828v1,0,0,0,0,0,0,1,[],"[['cas3a_TypeI (1693,3612,-)']]",1,1,"['AcrIE1', 'AcrIF12']",2,0,0,0,0,0,0,0,0,[]
GCF_000259025.1_ASM25902v1,Pseudomonas aeruginosa PADK2_CF510,PADK2_CF510,SAMN02471032 ,PRJNA81219,Proteobacteria,Gammaproteobacteria,GCA_000259025.1 ,6.68316,66.1,-,AJHI01,71,6314,5951,2012/04/17,2017/05/19,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/025/GCA_000259025.1_ASM25902v1,2,20,1,0,1,0,1,['IIIU'],"[['csy2_TypeIF (698903,699886,-)', 'csy1_TypeIF (699873,700856,-)', 'cas6_TypeIF (697297,697860,-)', 'cas1_TypeIF (704460,705434,-)', 'csy3_TypeIF (697864,698892,-)', 'cas3-cas2_TypeIF (700882,704463,-)'], ['csx3_TypeIIIU (26894,27772,+)']]",0,0,[],0,0,2,0,0,0,0,0,0,[]
GCF_000265035.1_ASM26503v1,Pseudomonas aeruginosa XMG,XMG,SAMN02470958 ,PRJNA157339,Proteobacteria,Gammaproteobacteria,GCA_000265035.1 ,6.45381,66.4,-,AJXX01,225,6047,5884,2012/06/04,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/035/GCA_000265035.1_ASM26503v1,0,0,0,0,0,0,5,['IIIU'],"[['cas3_TypeI (16474,20820,-)'], ['cas3_TypeI (5197,6768,-)'], ['cas3_TypeI (2683,4023,+)'], ['cas3a_TypeI (10447,12366,-)'], ['csx3_TypeIIIU (17059,17937,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000271365.1_ASM27136v1,Pseudomonas aeruginosa DK2,DK2,SAMN02603895 ,PRJNA73815,Proteobacteria,Gammaproteobacteria,GCA_000271365.1 ,6.40266,66.3,chromosome:NC_018080.1/CP003149.1,-,1,6116,5922,2012/06/20,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/365/GCA_000271365.1_ASM27136v1,3,36,1,0,1,0,0,[],"[['csy2_TypeIF (2796987,2797970,-)', 'cas3-cas2_TypeIF (2799319,2802549,-)', 'csy1_TypeIF (2797957,2799261,-)', 'cas6_TypeIF (2795381,2795944,-)', 'cas1_TypeIF (2802546,2803520,-)', 'csy3_TypeIF (2795948,2796976,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000271985.2_ASM27198v2,Pseudomonas aeruginosa SJTD-1,SJTD-1,SAMN02470939 ,PRJNA167272,Proteobacteria,Gammaproteobacteria,GCA_000271985.2 ,6.24383,66.5,chromosome:NZ_CP015877.1/CP015877.1,-,1,5887,5761,2016/06/02,2019/08/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/985/GCA_000271985.2_ASM27198v2,3,34,1,0,1,0,0,[],"[['csy2_TypeIF (4472405,4473388,+)', 'cas6_TypeIF (4474431,4474994,+)', 'cas1_TypeIF (4466855,4467829,+)', 'csy1_TypeIF (4471114,4472418,+)', 'csy3_TypeIF (4473399,4474427,+)', 'cas3-cas2_TypeIF (4467826,4471056,+)']]",0,0,[],0,0,2,0,0,0,0,0,0,[]
GCF_000282915.1_MWR44.1-1.0,Pseudomonas aeruginosa MRW44.1,MRW44.1,SAMN02470548 ,PRJNA168334,Proteobacteria,Gammaproteobacteria,GCA_000282915.1 ,6.26691,66.5,-,ALBW01,54,5812,5669,2012/07/30,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/915/GCA_000282915.1_MWR44.1-1.0,0,0,0,0,0,0,2,['IIIU'],"[['csx3_TypeIIIU (24621,25499,-)'], ['cas3_TypeI (3624,4964,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000283055.1_DQ8,Pseudomonas aeruginosa DQ8,DQ8,SAMN02470947 ,PRJNA170819,Proteobacteria,Gammaproteobacteria,GCA_000283055.1 ,6.77664,66,-,ALIO01,376,6576,6170,2012/07/30,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/055/GCA_000283055.1_DQ8,0,0,0,0,0,0,7,['IIIU'],"[['cas3_TypeI (6474,7814,+)'], ['cas3_TypeI (57204,58775,+)'], ['cas3_TypeI (18950,23296,+)'], ['cas3_TypeI (59787,61163,+)'], ['cas3_TypeI (21353,22702,-)'], ['csx3_TypeIIIU (10918,11796,-)'], ['cas3_TypeI (28872,30542,+)']]",1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000284555.1_ASM28455v1,Pseudomonas aeruginosa NCGM2.S1,NCGM2.S1,SAMD00061003 ,PRJDA73453,Proteobacteria,Gammaproteobacteria,GCA_000284555.1 ,6.76466,66.1,chromosome 1:NC_017549.1/AP012280.1,-,1,6504,6309,2011/09/29,2019/08/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/555/GCA_000284555.1_ASM28455v1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000287815.1_ASM28781v2,Pseudomonas aeruginosa N002,N002,SAMN00996515 ,PRJNA167366,Proteobacteria,Gammaproteobacteria,GCA_000287815.2 ,6.05047,66.8,-,ALBV02,235,5655,5496,2012/08/15,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/815/GCA_000287815.2_ASM28781v2,0,0,0,0,0,0,4,[],"[['cas3_TypeI (19112,23458,+)'], ['cas3_TypeI (20591,21931,+)'], ['cas3_TypeI (4264,5835,-)'], ['cas3_TypeI (30017,31366,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000287875.1_AH16,Pseudomonas aeruginosa AH16,AH16,SAMN02393806 ,PRJNA170163,Proteobacteria,Gammaproteobacteria,GCA_000287875.1 ,6.76533,66.1,-,ALJH01,130,6413,6188,2012/08/15,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/875/GCA_000287875.1_AH16,0,0,0,0,0,0,3,['IIIU'],"[['cas3a_TypeI (95383,97302,-)'], ['cas3_TypeI (48060,49631,-)'], ['csx3_TypeIIIU (28403,29281,-)']]",1,1,"['AcrIE1', 'AcrIF12']",2,0,0,0,0,0,0,0,0,[]
GCF_000290555.2_ASM29055v2,Pseudomonas aeruginosa PABL056,PABL056,SAMN02470713 ,PRJNA171335,Proteobacteria,Gammaproteobacteria,GCA_000290555.2 ,7.27768,65.5,-,ALPS01,390,7207,6812,2012/08/16,2019/12/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/290/555/GCA_000290555.2_ASM29055v2,0,0,0,0,0,0,5,['IIIU'],"[['cas3_TypeI (25834,29286,+)'], ['cas3_TypeI (20313,21689,+)'], ['csx3_TypeIIIU (9371,10249,+)'], ['cas3_TypeI (21707,23056,-)'], ['cas3_TypeI (2289,3629,+)']]",1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000295475.1_PaCIG1.1,Pseudomonas aeruginosa CIG1,CIG1,SAMN02471988 ,PRJNA89681,Proteobacteria,Gammaproteobacteria,GCA_000295475.1 ,6.53624,66,-,AKBD01,544,6343,5992,2012/09/06,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/295/475/GCA_000295475.1_PaCIG1.1,1,5,0,0,0,0,8,['IIIU'],"[['csx3_TypeIIIU (4860,5738,+)'], ['cas3_TypeI (11874,13250,-)'], ['cas3_TypeI (1065,2414,+)'], ['cas3_TypeI (4296,5840,-)'], ['cas3a_TypeI (1509,3431,-)'], ['cas3_TypeI (6021,10367,+)'], ['cas3_TypeI (19971,23423,-)'], ['cas3_TypeI (8909,10579,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000296325.1_PAO579-1.0,Pseudomonas aeruginosa PAO579,PAO579,SAMN02470270 ,PRJNA167046,Proteobacteria,Gammaproteobacteria,GCA_000296325.1 ,6.01585,66.5,-,ALOF01,16,5604,5490,2012/09/12,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/325/GCA_000296325.1_PAO579-1.0,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000297275.1_ASM29727v1,Pseudomonas aeruginosa ATCC 14886,ATCC 14886,SAMN02471996 ,PRJNA89671,Proteobacteria,Gammaproteobacteria,GCA_000297275.1 ,6.37803,66.4,-,AKZD01,211,6002,5796,2012/09/17,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/275/GCA_000297275.1_ASM29727v1,0,0,0,0,0,0,7,[],"[['cas3_TypeI (11789,13165,-)'], ['cas3_TypeI (66662,68011,+)'], ['cas3_TypeI (65781,67352,-)'], ['cas3_TypeI (6021,10367,+)'], ['cas3_TypeI (16852,20304,-)'], ['cas3_TypeI (63932,65602,+)'], ['cas3a_TypeI (22467,24386,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000297295.1_ASM29729v1,Pseudomonas aeruginosa ATCC 25324,ATCC 25324,SAMN02471980 ,PRJNA89673,Proteobacteria,Gammaproteobacteria,GCA_000297295.1 ,7.10392,65.9,-,AKZE01,1023,7027,6605,2012/09/17,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/295/GCA_000297295.1_ASM29729v1,1,9,0,0,0,0,5,['IIIU'],"[['csx3_TypeIIIU (2239,3117,+)'], ['cas3_TypeI (11887,13263,-)'], ['cas3_TypeI (33859,35208,+)'], ['cas3_TypeI (4149,5693,-)'], ['cas3_TypeI (82375,85827,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000297315.1_ASM29731v1,Pseudomonas aeruginosa ATCC 700888,ATCC 700888,SAMN02471986 ,PRJNA89675,Proteobacteria,Gammaproteobacteria,GCA_000297315.1 ,6.7948,66.1,-,AKZF01,600,6663,6308,2012/09/17,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/315/GCA_000297315.1_ASM29731v1,1,4,0,0,0,0,7,[],"[['cas3_TypeI (7102,8478,-)'], ['cas3_TypeI (12650,16996,-)'], ['cas3_TypeI (32900,34240,+)'], ['cas3_TypeI (20036,23488,-)'], ['cas3_TypeI (22717,24387,+)'], ['cas3_TypeI (37,957,+)'], ['cas3a_TypeI (46275,48194,+)']]",0,1,['AcrIF11'],1,0,0,0,0,0,0,0,0,[]
GCF_000297335.1_ASM29733v1,Pseudomonas aeruginosa CI27,CI27,SAMN02471979 ,PRJNA89679,Proteobacteria,Gammaproteobacteria,GCA_000297335.1 ,6.77272,66,-,AKZG01,160,6398,6218,2012/09/17,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/335/GCA_000297335.1_ASM29733v1,2,31,1,0,1,0,5,[],"[['cas3_TypeI (40750,42126,-)'], ['cas3_TypeI (66751,68100,+)'], ['cas3_TypeI (5725,7296,-)'], ['cas3_TypeI (8708,13054,+)'], ['cas3_TypeI (22988,25198,+)'], ['cas6_TypeIF (54121,54684,-)', 'cas1_TypeIF (61286,62260,-)', 'csy2_TypeIF (55727,56710,-)', 'cas3-cas2_TypeIF (58059,61289,-)', 'csy3_TypeIF (54688,55716,-)', 'csy1_TypeIF (56697,58001,-)']]",0,1,['AcrIF1'],1,2,0,0,3,0,0,0,0,"['JBD69_NC_030908-gi|YP_009273662.1||7.41e-54', 'JBD69_NC_030908-gi|YP_009273661.1||1.66e-53', 'JBD69_NC_030908-gi|YP_009273660.1||1.98e-111']"
GCF_000297355.1_ASM29735v1,Pseudomonas aeruginosa E2,E2,SAMN02471987 ,PRJNA89677,Proteobacteria,Gammaproteobacteria,GCA_000297355.1 ,6.35733,66.4,-,AKZH01,196,5901,5754,2012/09/17,2019/12/21,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/355/GCA_000297355.1_ASM29735v1,3,31,1,0,1,0,8,['IIIU'],"[['cas3_TypeI (10389,11765,-)'], ['cas3_TypeI (26701,28050,+)'], ['cas3_TypeI (4970,6541,-)'], ['cas3_TypeI (71282,72622,+)'], ['cas3_TypeI (8687,13033,+)'], ['cas3_TypeI (20058,23510,-)'], ['cas3_TypeI (66583,68253,+)'], ['cas3-cas2_TypeIF (42822,46052,-)', 'csy3_TypeIF (39101,40129,-)', 'cas1_TypeIF (46049,47023,-)', 'csy1_TypeIF (41110,42411,-)', 'cas6_TypeIF (38534,39097,-)', 'csy2_TypeIF (40140,41123,-)'], ['csx3_TypeIIIU (24635,25513,-)']]",1,2,"['AcrIE1', 'AcrIF3', 'AcrIF5']",3,0,0,0,4,0,0,0,0,[]
